Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn,cleanQueryText
,HORTICULTURE,Vegetables,Potato,Cultural Practices,CULTURAL PRACTICES OF POTATO,DETAILED EXPLANATION,MEGHALAYA,EAST KHASI HILLS,MAWKYNREW,2014-10-04 08:43:47.680,cultural practices potato
KHARIF,AGRICULTURE,Beekeeping,Beekeeping,Cultural Practices,BEE KEEPING,EXPLAINED IN DETAILS,MEGHALAYA,EAST KHASI HILLS,MAWPHLANG,2014-10-06 17:44:36.640,bee keeping
,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,fruit borer in tomato,quinalphos 25 EC 1ml/litre water,MEGHALAYA,EAST KHASI HILLS,MAWRYNGKNENG,2014-10-08 14:06:32.070,fruit borer tomato
KHARIF,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,CULTURAL PRACTICES IN TOMATO,EXPLAINED IN DETAILS,MEGHALAYA,EAST KHASI HILLS,MAWRYNGKNENG,2014-10-09 11:23:09.417,cultural practices tomato
,HORTICULTURE,Vegetables,Tomato,Nutrient Management,WHAT IS THE REQUIREMENT OF FERTILIZER DOSE FOR TOMATO IN ONE HECTARE AREA OF SIZE.,"REQUIREMENT OF FERTILIZER  DOSE FOR TOMATO IN ONE HECTAR AREA SIZE-UREA 75KG, SSP 100KG AND MOP 50KG",MEGHALAYA,EAST KHASI HILLS,MAWRYNGKNENG,2014-10-17 09:29:15.787,requirement fertilizer dose tomato hectare size
RABI,AGRICULTURE,Oilseeds,Mustard,Cultural Practices,Cultural practices for Mustard.,Explained in deatils.,MEGHALAYA,EAST KHASI HILLS,MAWKYNREW,2014-10-17 21:38:50.897,cultural practices mustard
,HORTICULTURE,Plantation Crops,Sandal Wood,Nutrient Management,ASKING FOR THE NUTRIENT MANAGEMENT IN SANDAL WOOD.,I SUGGEST HIM TO APPLY FYM IN RING METHOD.,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-10-29 11:51:02.150,nutrient management sandal wood
RABI,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Management of Rice hispa.,I suggest him to spray Trifos 40 EC @ 2 ml per litre of water.,MEGHALAYA,EAST KHASI HILLS,MAWRYNGKNENG,2014-10-29 15:41:09.717,management rice hispa
,HORTICULTURE,Fruits,Pomegranate,Nutrient Management,ASKING FOR THE MANAGEMNT OF MICRO-NUTRIENTS IN POMEGRANATE.,I SUGGEST HIM TO APPLY AGROMIN @1ml PER LITRE OF WATER.,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-10-31 08:15:49.920,managemnt micronutrients pomegranate
KHARIF,HORTICULTURE,Vegetables,Cabbage,	Plant Protection	,black leg of cabbage,"Seed treatment with Captan or Thiram 4g/kg of seed, followed by seed treatment with Trichoderma viride 4g/kg.",MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-10-06 20:24:20.540,black leg cabbage
,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ASKING FOR THE MANAGEMENT OF BROWN SPOT DISEASE IN RICE.,I SUGGEST HIM TO SPRAY CARBENDAZIM @2g PER LITRE OF WATER.,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-10-08 07:51:02.490,management brown spot disease rice
,ANIMAL HUSBANDRY,Animal,Pig,Animal Breeding,ASKING ABOUT PIGGERY FARMING,EXPLAINED TO HIM WITH THE HELP OF EXPERT,MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-10-08 10:31:00.220,piggery farming
,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,asking about rodden attack in rice,advised to trap with bait,MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-10-08 11:20:49.130,rodden attack rice
,FISHERIES,Inland,Others,Fish Fingerling Production,ASKING ABOUT THE SCHEME FOR POND CONSTRUCTION AND FINGERLING PRODUCTION,DIRECTED HIM TO CONSULT FROM THE FISHERY DEPARTMENT AND CONCERN BLOCK,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-10-08 16:01:03.230,scheme pond construction fingerling production
,HORTICULTURE,Vegetables,Cabbage,	Plant Protection	,ASKING FOR THE MANAGEMENT OF CABBAGE BUTTERFLY AT LARVA STAGE.,I SUGGEST HIM TO SPRAY MALATHION 50EC @2ml PER LITRE OF WATER.,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-10-17 11:40:46.880,management cabbage butterfly larva stage
,AGRICULTURE,Beekeeping,Beekeeping,Cultural Practices,BEE HIVE STRUCTURE,ANSWERED IN DETAILS.,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-10-21 17:16:56.170,bee hive structure
RABI,HORTICULTURE,Vegetables,Cabbage,	Plant Protection	,QUERY ABOUT THE PEST MANAGEMENT IN CABBAGE,SUGGESTION COULD NOT COMPLETE DUE TO CALL DISCONNECT,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-10-26 12:04:11.730,query pest management cabbage
RABI,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Management of Swarming Caterpillar.,I suggest him to spray Trifos 40 EC @ 2 ml per litre of water.,MEGHALAYA,EAST GARO HILLS,DAMBO RONGJENG,2014-10-22 15:40:18.720,management swarming caterpillar
RABI,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Management of White backed plant hopper.,I suggest him to spray Trifos 40 EC @ 2 ml per litre of water.,MEGHALAYA,WEST GARO HILLS,BETASING,2014-10-19 19:14:08.997,management white plant hopper
RABI,HORTICULTURE,Vegetables,Cabbage,Fertilizer Use and Availability,ASKING ABOUT NUTRIENT SUPPLIMENT  IN CABAGE.,SUGGESTED TO SPRAY TRACEL @ 2 GM/LITER OF WATER,MEGHALAYA,WEST GARO HILLS,ZIKZAK,2014-10-20 09:53:13.143,nutrient suppliment cabage
RABI,HORTICULTURE,Plantation Crops,Coconut,Fertilizer Use and Availability,Fertiliser management for 5 year coconut.,"I suggest him to apply 50 kg FYM,UREA- 560 g, SSP -320 g ,MOP-1200 g and BORAX-250 g.",MEGHALAYA,WEST GARO HILLS,ZIKZAK,2014-10-23 16:11:05.933,fertiliser management 5 coconut
RABI,HORTICULTURE,Vegetables,Cauliflower,	Plant Protection	,PEST MANAGEMENT IN CAULIFLOWER,RECOMMENDED HIM TO BUY AND  SPRAY CHLORPYRIFOS 2ML/LT OR INDOXACARB 1ML/LT OR SPINOSAD 45 SC 1ML/2LT OF WATER THREE TIMES IN 15 DAYS INTERVAL,MEGHALAYA,WEST GARO HILLS,ZIKZAK,2014-10-28 18:37:30.960,pest management cauliflower
,HORTICULTURE,Vegetables,Potato,Cultural Practices,FERTILIZER REQUIRMENT IN POTATO AS BASAL DOSE,"APPLY UREA 19 KG, SSP 45 KG, MOP 12 KG AND COWDUNG 2 QUINTAL PER BIGHA AS BASAL DOSE",MEGHALAYA,WEST GARO HILLS,BETASING,2014-10-28 19:33:13.123,fertilizer requirment potato basal dose
RABI,HORTICULTURE,Vegetables,Radish,	Plant Protection	,Management of cabbage caterpillar in Radish.,I suggest him to spray Chlorpyriphos 20 EC @ 2 ml per litre of water.,MEGHALAYA,WEST GARO HILLS,BETASING,2014-10-31 14:21:09.210,management cabbage caterpillar radish
,HORTICULTURE,Vegetables,Cauliflower,	Plant Protection	,CONTROL OF BLACK ROT IN CAULIFLOWER SEEDLINGS,SPRAY STREPTOMYCIN @ 1 GM PER 10 LITER OF WATER,MEGHALAYA,WEST GARO HILLS,BETASING,2014-10-31 18:03:34.257,control black rot cauliflower seedlings
RABI,HORTICULTURE,Vegetables,Cabbage,	Plant Protection	,ASKING CONTROL MEASURE OF LEAF HOPPER IN CABBAGE CULTIVATION,SPRAY EKALUX @ 2 ML PER LITRE OF WATER,MEGHALAYA,WEST GARO HILLS,BETASING,2014-10-31 18:08:33.940,control measure leaf hopper cabbage cultivation
,HORTICULTURE,Fruits,Citrus,	Plant Protection	,CULTURAL PRACTICES IN CITRUS,DETAILED EXPLANATION,MEGHALAYA,RI BHOI,UMSNING,2014-11-01 19:04:01.353,cultural practices citrus
,HORTICULTURE,Condiments and Spices,Ginger,Cultural Practices,GINGER CULTIVATION,DETAILED EXPLANATION,MEGHALAYA,RI BHOI,UMSNING,2014-11-03 16:48:25.863,ginger cultivation
RABI,HORTICULTURE,Condiments and Spices,Ginger,	Plant Protection	,Asking about how to do seed treatment in Ginger,I told him to treat the rhizome with carbendazim @2g/lt of water,MEGHALAYA,RI BHOI,UMSNING,2014-11-04 10:46:48.347,seed treatment ginger
KHARIF,AGRICULTURE,Others,Others,	Field Preparation	,Asking about the Agricultural,Answer is transferred to Meghalaya-expert,MEGHALAYA,RI BHOI,UMSNING,2014-11-04 10:50:45.087,agricultural
,HORTICULTURE,Condiments and Spices,Ginger,Crop Insurance,SEEDLING MATERIALS FOR GINGER,ADVISED HER TO CONSULT FROM THE CONCERN BLOCK OFFICER OF HER BLOCK..,MEGHALAYA,RI BHOI,UMSNING,2014-11-12 08:16:23.933,seedling materials ginger
KHARIF,AGRICULTURE,Others,Others,	Field Preparation	,Asking about the Agricultural,Answer is transferred to Khashi-expert,MEGHALAYA,RI BHOI,UMSNING,2014-11-22 10:24:36.720,agricultural
,HORTICULTURE,Vegetables,Cabbage,	Plant Protection	,ASKING FOR SCHEME,ADVISED TO VISIT THE CONCERN BLOCK,MEGHALAYA,RI BHOI,UMSNING,2014-11-22 10:26:44.077,scheme
RABI,HORTICULTURE,Flowers,Gerbera,	Plant Protection	,MANAGEMENT OF DRYING OF GERBERA  FLOWERS,RECOMMENDED HER TO SPRAY CARBENDAZIM 2G/L OF WATER,MEGHALAYA,EAST KHASI HILLS,MAWPHLANG,2014-11-08 19:02:46.173,management drying gerbera flowers
,AGRICULTURE,Others,Others,Bio-Pesticides and Bio-Fertilizers,Bio-Pesticides for organic agriculture.,"I suggested him Bio-Pesticides like Neem Gold,Nemazol,Rishab ,Bt formulations, NPV etc.",MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-11-11 17:09:06.603,biopesticides organic agriculture
RABI,AGRICULTURE,Others,Others,Credit,Query on how to get  Kisan credit card.,"I told him to prepare Cost of Cultivations such as amount needed for seeds,labourers,fertilisers,machinery etc and take a recommendations from Agricultural Development Officer from the respective block and visit any nationalised bank such as state Bank Of India, UCO Bank, Allahabad Bank, United Bank of India...etc",MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-11-12 20:14:07.497,query kisan credit card
RABI,HORTICULTURE,Medicinal and Aromatic Plants,Aloe Vera,Cultural Practices,QUERY ABOUT CULTIVATION AND BENEFITS OF ALOE VERA,I SUGGESTED HER THAT ALOE VERA IS PROPAGATED THROUGH SUCKERS AND BEFORE PLANTING SHE SHOULD GO FOR SEED TREATMENT WITH   CARBENDAZIM @ 2ML/LT OF WATER,MEGHALAYA,EAST KHASI HILLS,KHADARSHNONG-LAITKROH,2014-11-15 14:50:04.577,query cultivation benefits aloe vera
,HORTICULTURE,Condiments and Spices,Ginger,	Plant Protection	,SEED TREATMENT IN GINGER,MANCOZEB 3G/L OF WATER 30MINUTES BEFORE SOWING,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-11-22 07:26:17.910,seed treatment ginger
RABI,HORTICULTURE,Fruits,Guava,	Plant Protection	,Query about Management of fruit fly in guava,I Suggested him to kept pheromone trap methyl eugenol @ 1/4 tree which will be available at ICAR-NEH REGIONS.,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-11-22 17:12:28.107,query management fruit fly guava
,AGRICULTURE,Others,Others,Weather,QUERY ABOUT WEATHER REPORT,EXPLAIN IN DETAILS,MEGHALAYA,EAST KHASI HILLS,KHADARSHNONG-LAITKROH,2014-11-28 19:01:42.707,query weather report
,HORTICULTURE,Vegetables,Mushroom,Cultural Practices,MUSHROOM CULTIVATION,EXPLAINED IN DETAILS...,MEGHALAYA,EAST JAINTA HILLS,KHLIEHRIAT,2014-11-21 13:17:58.703,mushroom cultivation
,AGRICULTURE,Others,Others,	Field Preparation	,CALL TESTING FROM MEGHALAYA,FARMER CALL FROM MEGHALAYA IS COMING TO KISAN CALL CENTRE.,MEGHALAYA,EAST GARO HILLS,RESUBELPARA,2014-11-28 13:00:55.603,call testing meghalaya
,AGRICULTURE,Others,Others,Weed Management,CALL TESTING FOR MEGHALAYA STATE.,FARMER CALL FROM MEGHALAYA IS COMING TO KISAN CALL CENTRE GUWAHATI.,MEGHALAYA,EAST GARO HILLS,RESUBELPARA,2014-11-28 13:16:41.740,call testing meghalaya
RABI,HORTICULTURE,Vegetables,Potato,Cultural Practices,ASKING ABOUT THE SPACING OF POTATO,ADVISED TO MAINTAIN SPACING-50 CM(ROW TO ROW) X 15 CM(SEED TO SEED),MEGHALAYA,WEST GARO HILLS,ZIKZAK,2014-11-04 14:58:05.203,spacing potato
,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ASKING FOR THE MANAGEMENT OF STEM BORER IN PADDY.,I SUGGEST HIM TO SPRAY MALATHION 50EC @2ml PER LITRE OF WATER.,MEGHALAYA,WEST GARO HILLS,BETASING,2014-11-06 17:42:47.353,management stem borer paddy
,HORTICULTURE,Vegetables,Bitter Gourd,	Plant Protection	,QUERY ABOUT BITTER GOURD,CALL TRANSFER TO EXPERT,MEGHALAYA,WEST GARO HILLS,ZIKZAK,2014-11-23 20:44:41.703,query bitter gourd
RABI,HORTICULTURE,Vegetables,Bitter Gourd,Fertilizer Use and Availability,Fertiliser management for Bitter gourd.,"I suggest him to apply 2-5 kg FYM ,6 gram UREA,10 gram SSP and 10 gram MOP per plant.Spray Green Harvest @ 2 gram per litre of water for better flower initiation",MEGHALAYA,WEST GARO HILLS,ZIKZAK,2014-11-23 20:52:19.350,fertiliser management bitter gourd
RABI,HORTICULTURE,Vegetables,Lab Lab,	Plant Protection	,Management of pod borer in lablab.,I suggest him to spray either Quinalphos 25 EC or Rogor 30 EC @ 2 ml per litre of water.,MEGHALAYA,WEST GARO HILLS,RONGRAM,2014-11-23 21:12:19.173,management pod borer lablab
RABI,HORTICULTURE,Vegetables,Potato,	Plant Protection	,MANAGEMENT OF LATE BLIGHT OF POTATO,I SUGGESTED HIM TO SPRAY INDOFIL M45 @ 2G/LT OF WATER.,MEGHALAYA,WEST GARO HILLS,DADENGGRE,2014-11-28 15:06:57.183,management late blight potato
RABI,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,TESTING THE CALL,TESTING THE CALL,MEGHALAYA,WEST GARO HILLS,DADENGGRE,2014-11-28 16:11:19.240,testing call
RABI,HORTICULTURE,Vegetables,Potato,Fertilizer Use and Availability,ASKING ABOUT THE FERT.USE AND AVAILABILITY OF POTATO.,DETAILS GIVEN(FYM AT 25 T/HA AND FOR INSECT APPLIED CARBOFURAN 3G IN THE FIELD).,MEGHALAYA,WEST GARO HILLS,DALU,2014-11-30 11:39:17.090,fertuse availability potato
RABI,HORTICULTURE,Fruits,Mango,Fertilizer Use and Availability,ASKING ABOUT THE FERTILIZER DOSE FOR 10 YEARS OF MANGO.,"SUGGESTED TO APPLIED 1 AND HALF KG OF UREA,1KG OF SSP AND 1KG OF MOP.",MEGHALAYA,EAST KHASI HILLS,KHADARSHNONG-LAITKROH,2014-12-01 15:03:21.537,fertilizer dose 10 mango
,ANIMAL HUSBANDRY,Animal,POULTRY  FARM ,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",POULTRY FARMING,EXPLAINED TO HIM WITH THE HELP OF EXPERT,MEGHALAYA,EAST JAINTA HILLS,KHLIEHRIAT,2014-12-02 18:25:47.677,poultry farming
RABI,AGRICULTURE,Others,Others,	Plant Protection	,Query about the agriculture in khasi,call transferred to the khasi expert,MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-12-05 08:19:29.353,query agriculture khasi
,AGRICULTURE,Others,Others,Weather,QUERY ABOUT WEATHER REPORT,EXPLAIN,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-12-05 18:11:54.520,query weather report
,HORTICULTURE,Vegetables,Cauliflower,	Plant Protection	,query about cauliflower diseases,call transfer to expert,MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-12-06 17:19:09.310,query cauliflower diseases
,ANIMAL HUSBANDRY,Animal,POULTRY  FARM ,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",ASKING ABOUT POULTRY FARMING,ADVISED HIM TO CONSULT FROM THE CONCERN BLOCK.....,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-12-13 06:49:52.400,poultry farming
,ANIMAL HUSBANDRY,Animal,POULTRY  FARM ,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",ASKING ABOUT POULTRY FARMING ESTABLISHMENT,ADVISED HIM TO CONSULT FROM THE CONCERN BLOCK....,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-12-16 07:27:54.170,poultry farming establishment
KHARIF,ANIMAL HUSBANDRY,Animal,POULTRY  FARM ,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",POULTRY PRODUCTION,I TOLD HIM THE PLACE FROM WHERE HE CAN GET THE SOURCE FOR POULTRY PRODUCTION....,MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-12-18 11:28:13.400,poultry production
,AGRICULTURE,Others,Others,Credit,ASKING ABOUT KISAN CREDIT CARD,ADVISING HIM TO CONSULT FROM ANY NATIONALISESD BANK LOCATED NEARBY HIS AREA.,MEGHALAYA,EAST GARO HILLS,RESUBELPARA,2014-12-18 10:03:38.553,kisan credit card
RABI,ANIMAL HUSBANDRY,Animal,POULTRY  FARM ,Disease Management,QUERY ABOUT THE SPREAD OF BIRD FLU AND SWINE FLU AND ITS MANAGEMENT,I SUGGESTED HIM TO APPROACH THE VETERINARY DOCTOR TO GET THE DESIRED INFORMATION REGARDING THE QUERY,MEGHALAYA,WEST GARO HILLS,DALU,2014-12-02 14:04:04.103,query spread bird flu swine management
RABI,HORTICULTURE,Plantation Crops,Rubber,Cultural Practices,Query on where to get rubber saplings.,I suggest him to contact his nearby Rubber board office.,MEGHALAYA,WEST GARO HILLS,DALU,2014-12-07 11:29:47.217,query rubber saplings
RABI,HORTICULTURE,Vegetables,Cabbage,	Plant Protection	,Management of cabbage caterpillar.,I suggest him to spray OH @ 10 ml per litre of water.,MEGHALAYA,WEST GARO HILLS,SELSELLA,2014-12-09 10:59:24.897,management cabbage caterpillar
RABI,AGRICULTURE,Others,Others,	Plant Protection	,QUERY ABOUT THE DEACTIVATION OF INCOMING SMS FROM KCC,TOLD HIM THAT WE WILL LOOK IN TO THE MATTER,MEGHALAYA,WEST GARO HILLS,DADENGGRE,2014-12-12 13:34:06.890,query deactivation incoming sms kcc
,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,ASKING ABOUT FRUIT BORER INFESTATION IN TOMATO,ADVISING HIM TO SPRAY QUINALPHOS 25 EC @ 1ml/ litre water,MEGHALAYA,RI BHOI,UMSNING,2014-02-25 08:05:48.000,fruit borer infestation tomato
,ANIMAL HUSBANDRY,Animal,Pig,,ASKING ABOUT SCHEMES,ADVICED GIVEN IN DETAILS AS PER HIS TRAININGS GIVEN BY ICAR,MEGHALAYA,EAST KHASI HILLS,MAWRYNGKNENG,2014-02-05 16:59:57.000,schemes
,HORTICULTURE,Fruits,Strawberry,Government Schemes,ASKING ABOUT THE CULTIVATION OF STRAW BERRY AND THE SCHEMES FOR CULTIVATION PRACTICES,I SUGGESTED HIM TO ENQUIRE FROM HIS CONCERN BLOCK FOR FURTHER DETAILS AND CALL BACK IF HE DOESNT GET POSITIVE RESPONSE...,MEGHALAYA,EAST KHASI HILLS,MAWKYNREW,2014-02-09 18:57:32.000,cultivation straw berry schemes practices
,HORTICULTURE,Vegetables,Tomato,,ASKING ABOUT TOMATO CULTURAL PRACTICES,ADVICED GIVEN IN DETAILS,MEGHALAYA,EAST KHASI HILLS,MAWRYNGKNENG,2014-02-10 16:42:44.000,tomato cultural practices
,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,ASKING ABOUT THE SEASON FOR CULTIVATION OF CHILLIES,ADVISING HIM TO GROW DURING THE MONTH OF JUNE TO OCTOBER,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-02-14 11:07:27.000,season cultivation chillies
,AGRICULTURE,Oilseeds,Mustard,,asking about growing of mustard,explained in detailed,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-02-14 15:44:18.000,growing mustard
,HORTICULTURE,Fruits,Banana,,asking about methods of banana cultivation,explained in detailed,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-02-14 16:56:15.000,methods banana cultivation
,AGRICULTURE,Others,Others,,ASKING ABOUT SCHEMES FOR MULBERRY SILK WORMS,SUGGESTIONS GIVEN IN DETAILS,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-02-17 16:47:18.000,schemes mulberry silk worms
KHARIF,HORTICULTURE,Vegetables,Cabbage,Fertilizer Use and Availability,ASKING ABOUT THE FERTILIZER APPLICATION IN CABBAGE,GIVEN IN DETAILS,MEGHALAYA,EAST KHASI HILLS,MAWKYNREW,2014-02-21 17:15:08.000,fertilizer application cabbage
,AGRICULTURE,Cereals,Paddy (Dhan),,ASKING ABOUT KCC AND ALSO CULTURAL PRACTICES OF RICE AND POTATO,ADVICED GIVEN IN DETAILS,MEGHALAYA,EAST KHASI HILLS,MAWPHLANG,2014-02-22 09:25:04.000,kcc cultural practices rice potato
,HORTICULTURE,Vegetables,Tomato,Cultural Practices,ASKING ABOUT THE VEGETABLES GROWN IN THIS SEASON,ADVISING HER TO GROW TOMATO..,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-02-23 10:33:47.000,vegetables grown season
,HORTICULTURE,Vegetables,Chillies,,ASKING FOR THE CULTIVATION PRACKAGES OF CHILLI.,I EXPLAIN HIM IN DETAIL.,MEGHALAYA,EAST KHASI HILLS,MYLLIEM,2014-02-24 10:10:54.000,cultivation prackages chilli
,AGRICULTURE,Others,Others,,asking about schems and co operative societies,answer given in details,MEGHALAYA,EAST KHASI HILLS,PYNURSLA,2014-02-25 19:11:53.000,schems operative societies
,AGRICULTURE,Others,Others,,inquire about availability of ADO in Goverernment office,answer in details,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-02-11 11:23:22.000,inquire availability ado goverernment office
,AGRICULTURE,Cereals,Paddy (Dhan),,asking about the scheme for watershed management,advising him to consult with his concern block....,MEGHALAYA,EAST JAINTA HILLS,LASKEIN,2014-02-11 19:29:24.000,scheme watershed management
,HORTICULTURE,Vegetables,Tomato,Cultural Practices,ASKING FOR NURSERY MANAGEMENT IN TOMATO,I EXPLAINED TO HIM IN DETAILS,MEGHALAYA,EAST JAINTA HILLS,THADLASKEIN,2014-02-15 13:01:34.000,nursery management tomato
,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,ASKING ABOUT THE CONTROL OF PEST.,SUGGESTED TO APPLY THE CLASSIC-20 @ 2ML PER LITRE OF WATER.,MEGHALAYA,EAST GARO HILLS,SAMANDA,2014-02-20 19:29:37.000,control pest
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),,Query regarding paddy cultivation,Explained details,MEGHALAYA,WEST GARO HILLS,TIKRIKILLA,2014-02-15 12:20:46.000,query paddy cultivation
